CIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
28007,14.52,18.87,18.80,18.66,16.02,13.73,13.76,14.63,11.96,8.90,9.45,11.69,12.00,12.28,10.28,11.41
29001,14.43,13.29,11.28,14.37,15.76,16.00,16.14,13.42,11.67,11.99,12.97,13.33,13.76,13.70,13.14,13.89
29002,8.01,13.82,17.64,13.40,14.34,10.99,14.34,13.52,6.65,10.98,10.54,9.38,11.90,11.93,9.99,13.10
29003,18.98,19.49,16.66,17.75,16.38,16.62,17.61,13.14,17.79,15.61,14.90,13.96,16.27,14.95,16.05,13.26
29004,15.87,20.03,15.04,14.55,16.98,16.59,15.71,13.07,13.16,12.36,12.25,11.24,10.61,11.79,11.17,10.68
29005,23.82,21.21,15.87,15.51,18.12,13.54,12.55,10.13,10.70,10.39,12.38,11.05,11.27,13.53,11.66,12.47
29006,7.32,6.84,6.74,6.36,8.49,15.01,20.02,13.33,11.95,11.79,11.06,10.18,11.25,11.75,12.33,8.88
29007,16.39,11.79,13.07,13.93,16.40,11.96,13.39,13.77,11.75,14.51,11.52,16.30,11.23,11.59,9.79,7.93
29008,8.13,9.46,14.79,16.16,18.64,16.99,15.73,18.69,14.02,19.01,11.53,14.45,17.46,16.45,13.44,11.97
29009,17.65,14.29,14.75,21.01,21.31,20.03,16.68,12.60,13.85,17.15,14.40,16.83,14.24,16.53,14.83,12.43
29010,12.91,11.66,8.60,10.19,11.34,10.88,9.99,14.19,13.48,12.84,15.20,11.71,11.24,12.23,11.80,12.27
29011,17.25,11.58,10.74,14.50,11.92,12.18,14.93,11.75,13.32,10.84,15.78,10.90,11.85,9.83,8.27,10.97
29012,23.19,16.55,18.46,20.04,17.38,18.86,17.88,18.74,18.05,17.50,18.68,16.01,18.11,15.48,15.73,15.50
29013,10.32,13.16,9.42,14.42,14.81,18.21,17.96,14.49,13.04,14.74,17.35,17.51,15.71,14.35,16.14,13.95
29014,11.78,9.27,11.01,13.26,14.78,11.98,14.81,14.30,12.16,12.53,14.80,9.08,12.70,10.20,9.05,11.70
29015,14.10,17.85,19.34,15.72,20.15,17.30,15.05,14.02,12.81,14.10,11.94,15.24,12.67,11.67,13.78,13.83
29016,17.92,16.25,12.95,16.09,14.79,16.85,14.53,16.02,14.01,11.77,12.29,11.33,12.32,10.24,12.67,11.36
29017,11.15,18.85,20.64,19.19,16.01,14.27,14.24,15.42,14.60,12.37,16.93,15.10,16.82,10.14,10.03,11.03
29018,19.93,19.06,14.78,15.57,17.13,15.88,15.51,13.22,11.20,11.20,13.14,12.08,11.76,8.88,10.27,9.85
29019,15.40,14.29,8.01,9.33,9.83,11.51,13.05,10.35,11.22,10.01,7.39,8.01,12.25,9.54,12.44,14.01
29020,19.75,20.34,20.26,18.87,16.18,16.48,16.77,15.48,13.23,11.47,12.28,11.81,11.53,13.09,11.55,10.74
29021,15.70,11.89,12.23,10.53,15.88,11.50,17.05,12.91,10.83,15.50,11.29,11.10,12.65,9.60,11.70,11.32
29022,24.71,23.13,18.21,19.70,19.43,15.70,16.42,12.51,11.16,11.83,14.67,8.54,10.80,11.52,11.11,9.66
29023,11.73,15.88,8.54,13.78,17.99,14.39,16.53,18.52,17.49,12.16,15.41,13.50,16.68,15.84,11.23,8.41
29024,11.53,6.06,11.53,12.71,8.16,10.39,16.88,13.05,11.48,9.72,12.16,12.97,11.04,10.93,11.57,12.39
29025,10.13,9.37,8.09,9.48,9.55,9.34,9.75,12.69,10.47,10.91,8.67,10.65,11.81,12.37,10.20,10.44
29026,20.84,12.75,13.24,14.14,12.84,16.16,11.29,13.84,14.06,13.31,9.42,10.11,9.77,11.20,9.55,8.50
29027,15.41,14.15,18.10,16.18,12.51,8.88,12.72,18.71,13.96,11.68,18.39,13.97,16.59,15.22,15.81,11.98
29028,18.30,17.23,15.80,13.66,13.68,14.20,15.16,16.41,15.99,15.42,15.29,16.70,14.05,13.06,11.82,12.61
31001,6.08,14.35,7.87,14.51,15.71,10.00,22.52,14.27,15.69,11.29,14.22,13.21,12.15,13.08,12.85,19.23
31002,12.73,16.61,8.25,22.49,12.66,11.94,15.69,15.09,14.34,2.89,19.72,12.68,19.69,9.09,8.19,8.45
31003,16.25,15.60,14.12,16.28,9.44,7.35,7.09,8.93,8.49,7.54,8.70,8.08,8.30,8.11,7.42,7.40
31004,27.05,14.92,14.43,16.74,13.00,8.78,11.94,17.84,15.41,19.24,12.75,20.36,11.02,13.41,12.73,14.88
31005,11.48,6.02,8.90,17.53,19.23,18.67,18.75,9.21,14.14,17.07,8.01,13.42,11.44,6.60,13.27,12.35
31006,15.03,10.70,14.35,11.62,10.06,11.88,6.23,8.06,12.39,10.68,8.85,14.48,7.10,12.68,10.27,7.42
31007,22.08,14.74,23.51,11.41,16.84,12.70,16.93,13.57,13.38,17.70,8.83,16.66,9.14,9.18,6.84,7.86
31008,12.13,9.94,9.91,10.41,9.81,10.45,8.63,8.12,8.14,7.72,8.33,6.63,7.11,7.23,7.04,6.93
31009,11.87,12.29,12.51,9.49,9.36,9.66,9.43,8.40,7.85,8.50,6.22,7.09,7.73,8.08,8.37,7.77
31010,15.47,11.49,7.50,14.21,14.27,9.45,17.03,8.72,11.54,8.08,12.68,10.41,8.19,8.15,9.34,10.93
31011,19.80,17.56,13.82,11.65,8.44,10.59,11.91,14.32,12.65,12.91,10.45,13.21,12.15,11.18,12.07,11.98
31012,24.88,15.88,10.80,21.55,17.05,20.47,16.42,14.51,15.75,15.09,9.38,16.03,15.06,9.88,8.28,6.56
31013,19.87,16.96,14.70,17.05,12.72,21.59,17.83,12.59,10.71,13.76,12.26,15.37,10.01,12.48,11.58,12.43
31014,19.20,13.84,17.23,13.37,12.99,15.19,12.30,13.03,11.81,14.51,10.70,9.49,9.61,9.93,7.71,8.05
31015,13.15,10.61,9.20,8.74,8.87,8.29,7.70,8.13,6.89,7.98,7.37,8.12,6.26,7.86,6.91,7.81
31016,12.87,14.69,15.43,12.40,17.02,9.55,65.48,13.82,8.25,18.87,19.19,12.37,13.81,12.05,3.94,17.95
31017,15.99,19.60,15.69,10.97,14.81,13.61,12.29,11.26,10.53,9.64,10.29,11.53,7.97,7.76,7.02,4.46
31018,11.30,15.13,18.91,16.00,15.18,13.33,12.21,10.15,13.23,11.83,10.38,11.94,9.22,9.47,9.13,12.39
31019,17.91,16.99,17.36,10.01,13.90,13.19,13.71,11.80,12.20,19.12,10.05,11.97,10.38,16.98,7.03,9.10
31020,13.60,11.81,13.06,11.95,11.60,13.50,9.70,11.39,7.61,8.24,10.25,10.64,9.54,5.80,5.92,6.59
31021,13.09,10.55,5.46,10.46,11.78,10.90,14.09,9.35,6.47,3.07,7.68,6.71,9.87,8.47,10.31,7.79
31022,23.21,12.66,16.34,13.10,8.93,8.98,8.79,13.53,10.88,14.77,5.34,9.05,9.20,18.93,6.12,9.88
31023,17.19,8.98,10.15,9.09,8.17,7.26,11.66,8.98,9.01,5.69,8.08,7.58,9.06,7.49,9.76,7.96
31024,19.00,16.79,13.25,14.79,13.46,15.78,12.88,13.52,12.16,8.76,8.31,7.59,9.26,8.56,10.25,8.65
31025,18.92,21.11,16.77,16.06,22.16,14.71,10.54,13.79,18.83,15.59,14.15,10.39,12.69,15.28,12.79,9.79
31026,20.60,15.17,15.97,17.72,9.33,11.79,12.25,12.61,14.97,6.27,6.18,7.64,8.95,8.75,5.59,5.87
31027,11.80,9.62,10.94,9.42,11.66,6.86,8.33,9.98,9.07,8.95,8.09,7.74,6.18,5.41,5.99,7.63
31028,16.64,15.08,13.67,14.01,9.25,12.21,14.61,11.10,9.50,12.39,10.46,11.64,8.26,7.78,8.93,7.53
