Região de Saúde,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
24002,6.32,7.93,5.26,3.74,4.23,5.75,5.06,3.31,3.07,2.48,1.84,1.72
24003,28.31,12.28,9.08,0.00,0.31,1.22,1.17,1.16,0.96,1.33,6.50,5.52
24004,20.09,8.15,9.78,9.35,11.01,8.28,6.47,9.88,12.20,13.64,13.59,12.36
24005,28.10,2.54,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24006,3.34,1.62,1.62,2.89,1.51,0.00,1.19,4.36,3.69,6.56,4.45,0.80
24007,10.38,10.37,9.37,8.02,7.61,8.64,8.82,12.22,15.27,15.83,20.23,19.79
24008,23.10,28.73,24.77,20.30,19.91,14.31,15.89,19.42,21.19,20.11,23.53,26.92
25001,3.82,3.95,3.44,2.35,2.52,2.69,2.94,2.51,4.09,5.86,7.93,7.82
25002,30.32,24.73,19.54,11.62,8.25,8.24,7.77,8.52,7.08,5.22,5.21,5.22
25003,24.20,13.06,12.65,13.44,12.69,12.64,11.86,10.61,10.21,10.68,10.13,10.17
25004,8.18,10.68,10.61,7.47,7.43,7.40,11.44,14.06,12.19,7.98,7.06,6.21
25005,11.39,8.60,5.69,7.28,6.95,8.34,6.75,15.10,19.74,19.92,16.52,9.96
25006,0.41,0.89,1.76,0.30,0.00,0.00,0.00,1.43,3.26,1.69,1.68,1.69
25007,15.65,9.22,10.51,10.91,8.42,8.87,5.16,5.38,5.38,6.27,7.62,5.38
25008,7.05,7.26,5.11,3.59,3.57,0.30,3.75,4.29,3.41,3.39,0.56,0.85
25009,2.98,1.98,0.00,1.19,2.37,1.96,0.19,8.40,12.14,14.72,12.02,10.57
25010,8.11,0.00,0.00,0.00,0.00,0.00,0.00,1.15,1.14,5.69,4.82,1.42
25011,38.39,45.47,34.30,30.87,28.28,38.37,18.37,9.14,10.28,11.02,16.85,10.24
25012,2.38,0.39,0.00,0.00,0.00,1.37,2.30,4.59,4.57,5.13,5.87,5.13
