Região de Saúde (CIR),2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
35083,113,138,146,162,177,194,203,218,234,240
35091,64,108,119,140,153,170,179,184,198,214
35092,141,194,225,296,315,325,348,386,412,433
35093,240,404,459,560,602,643,699,742,788,815
35094,174,260,294,340,402,402,419,444,471,489
35095,33,95,68,114,120,142,169,178,186,189
35101,276,360,415,495,539,564,582,611,636,628
35102,268,283,291,318,371,445,502,522,535,550
35103,386,705,763,838,892,939,973,1016,1060,1082
35104,166,248,264,301,330,347,367,381,401,416
35111,59,113,130,149,162,177,188,197,217,202
35112,280,436,474,569,617,652,670,698,736,776
35113,17,31,40,47,47,48,61,71,74,76
35114,35,56,60,62,64,67,69,78,84,88
35115,15,27,33,39,47,51,51,53,60,63
35121,56,80,79,110,120,122,124,128,132,131
35131,222,299,330,440,501,539,572,605,634,658
35132,455,667,816,1082,1339,1563,1688,1814,1950,2024
35133,165,172,177,196,217,237,256,259,268,275
35141,271,395,412,464,514,533,553,569,580,534
35142,297,413,475,560,604,644,684,727,770,804
35143,177,236,267,305,328,352,377,403,418,428
35151,231,293,302,335,352,364,403,456,516,547
35152,43,49,52,55,60,62,66,73,78,82
35153,61,82,106,138,146,154,156,172,186,194
35154,126,193,204,225,242,248,246,258,272,286
35155,425,510,571,655,738,809,888,953,1016,1097
35156,34,40,46,51,52,55,61,64,66,70
35157,124,162,179,229,253,278,299,319,335,364
35161,338,477,535,592,641,683,687,659,712,775
35162,74,121,141,166,176,181,186,199,220,234
35163,526,788,872,1092,1224,1346,1428,1510,1621,1765
35171,808,1253,1384,1562,1661,1731,1762,1819,1883,1968
35172,275,385,457,526,565,605,644,677,709,731
35173,132,166,185,213,225,245,248,253,263,269
35174,421,598,647,705,732,762,810,858,900,920
41001,115,151,170,183,192,188,190,203,220,236
41002,3773,4565,4879,5200,5409,5585,5762,5960,6174,6298
41003,492,574,621,673,704,744,784,830,888,928
41004,137,147,143,146,159,171,183,189,200,198
41005,350,403,429,466,486,499,517,538,562,580
41006,113,127,149,180,189,197,194,193,207,221
41007,338,396,433,466,501,536,554,571,598,585
41008,311,355,386,421,435,469,515,543,566,585
41009,266,311,351,410,441,468,485,495,519,535
41010,405,457,496,530,560,580,609,643,672,681
41011,302,321,333,351,358,369,393,413,430,436
41012,236,301,322,346,367,387,398,410,430,436
41013,104,120,125,138,145,151,156,175,191,199
41014,117,139,155,172,192,212,228,239,266,280
41015,863,1042,1102,1187,1251,1310,1366,1427,1515,1483
41016,551,568,560,569,585,600,596,603,618,626
41017,1178,1246,1271,1307,1314,1339,1373,1411,1471,1501
41018,182,205,207,214,225,238,251,269,280,279
41019,183,217,236,270,285,306,325,336,353,343
41020,485,558,595,645,678,699,696,728,751,757
41021,61,70,73,88,94,99,106,119,130,144
41022,64,73,77,80,86,103,108,107,110,119
42001,183,227,247,257,282,310,337,361,388,377
42002,452,519,529,565,605,651,683,720,775,794
42003,278,281,274,282,288,300,312,329,336,342
42004,275,283,292,314,337,349,355,365,385,394
42005,653,743,870,956,1047,1092,1139,1229,1313,1372
42006,628,831,939,1037,1116,1142,1194,1198,1237,1276
42007,548,734,778,872,1004,1068,1130,1183,1233,1280
42008,197,226,252,281,318,334,351,367,383,405
42009,150,252,266,306,340,374,409,428,446,448
42010,119,143,157,168,184,192,192,205,212,216
42011,856,966,1156,1263,1338,1414,1490,1557,1609,1678
42012,192,251,286,332,381,441,469,491,523,535
42013,451,481,495,519,537,548,568,590,603,584
42014,166,175,193,202,201,204,220,236,244,257
42015,425,410,402,439,476,505,526,548,584,614
42016,203,240,252,310,348,375,399,421,455,466
43001,293,521,640,723,755,797,819,843,861,863
43002,58,91,113,125,130,137,143,149,153,151
43003,259,345,356,363,396,452,519,568,600,594
43004,27,43,57,71,89,103,122,142,152,152
43005,44,63,75,105,126,139,153,166,179,183
43006,40,56,71,112,139,150,156,159,170,173
43007,170,270,310,412,488,551,596,645,701,729
43008,220,389,472,553,620,682,731,775,841,849
43009,111,149,165,221,298,321,338,358,384,388
43010,915,1582,1925,2380,2704,2948,3167,3356,3539,3718
43011,240,343,358,387,443,490,521,552,587,600
43012,140,211,228,241,253,270,275,283,291,289
43013,136,161,184,206,255,308,348,371,397,398
43014,114,153,173,210,233,279,319,344,362,365
43015,64,83,100,113,141,180,196,230,259,272
43016,158,271,293,316,333,354,372,390,407,453
43017,299,497,571,680,796,874,933,1002,1057,1093
43018,40,58,71,107,125,136,151,163,182,191
43019,48,63,77,95,107,120,129,136,147,143
43020,53,64,69,88,110,118,129,140,150,132
43021,412,700,757,839,926,994,1074,1156,1211,1246
43022,65,106,123,145,158,162,169,179,187,192
43023,398,485,585,867,979,1076,1136,1191,1274,1310
43024,24,38,44,60,76,91,97,106,111,118
43025,168,368,425,511,582,664,711,764,794,789
43026,98,113,125,174,217,270,338,383,412,414
43027,63,92,104,125,162,198,212,227,234,230
43028,285,457,503,616,686,721,754,784,821,826
43029,102,168,208,314,391,436,461,481,507,515
43030,32,78,89,124,155,172,184,204,215,216
50001,663,950,1042,1199,1335,1495,1573,1634,1710,1746
50002,42,43,45,52,57,71,79,86,90,92
50003,279,316,357,397,469,590,647,705,747,771
50004,232,272,264,280,304,327,345,366,392,382
51001,29,31,35,43,51,54,57,57,59,58
51002,317,876,960,1094,1181,1241,1271,1312,1370,1382
51003,10,9,10,13,12,12,11,12,13,10
51004,24,23,24,25,25,26,27,26,30,24
51005,33,40,49,74,82,83,82,83,85,83
51006,31,37,38,44,60,67,66,69,77,75
51007,87,94,96,105,128,150,165,168,173,181
51008,16,18,23,33,38,39,42,43,55,61
51009,4,4,5,6,7,7,6,6,6,4
51010,20,21,23,26,27,27,28,29,30,30
51011,46,62,71,80,91,98,104,112,123,135
51012,19,19,20,28,47,51,56,57,60,60
51013,279,320,350,382,415,445,476,510,538,559
51014,85,142,181,230,264,300,341,368,418,432
51015,38,37,37,41,35,32,33,35,38,37
51016,26,31,32,34,34,34,35,36,36,35
52001,1166,1551,1703,2078,2278,2444,2573,2683,2823,2917
52002,82,94,104,132,159,177,195,213,240,252
52003,22,26,29,32,40,48,51,57,63,65
52004,62,70,76,90,98,110,120,131,145,152
52005,82,166,199,231,268,329,406,460,504,549
52006,1,2,2,2,2,3,7,7,7,7
52007,3,2,1,2,6,8,9,13,17,15
52008,31,35,40,51,58,60,63,67,71,73
52009,10,13,15,20,26,31,37,41,43,42
52010,28,34,36,46,50,51,55,60,64,62
52011,115,140,161,184,206,227,257,269,287,291
52012,32,32,34,46,50,58,62,66,74,76
52013,43,48,56,62,73,80,92,105,123,135
52014,29,34,40,46,56,65,73,78,81,84
52015,81,156,217,296,370,419,462,501,541,561
52016,33,57,69,91,106,118,127,136,152,159
52017,168,224,241,264,285,298,313,336,370,393
52018,22,32,33,34,42,46,51,61,68,71
53001,3565,4114,4581,5054,5520,5986,5407,5367,5643,4948
Total,84718,110513,123730,143276,155942,167595,176597,186047,197268,201875
