CIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
25001,0.73,0.75,0.79,0.82,0.84,0.87,0.9,0.92,0.92,0.94,0.93,0.94,0.94,0.93,0.92,0.9
25002,0.81,0.84,0.88,0.91,0.93,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.99
25003,0.83,0.84,0.87,0.9,0.92,0.93,0.93,0.95,0.95,0.96,0.96,0.96,0.96,0.97,0.97,0.95
25004,0.87,0.89,0.92,0.93,0.94,0.94,0.96,0.96,0.97,0.97,0.96,0.97,0.98,0.98,0.97,0.99
25005,0.86,0.87,0.9,0.93,0.95,0.94,0.94,0.96,0.95,0.96,0.96,0.96,0.96,0.96,0.97,0.97
25006,0.88,0.91,0.92,0.94,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.98,0.93
25007,0.87,0.9,0.91,0.92,0.94,0.95,0.97,0.97,0.97,0.97,0.97,0.96,0.98,0.98,0.98,0.98
25008,0.93,0.92,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.96
25009,0.82,0.85,0.88,0.92,0.93,0.95,0.96,0.92,0.97,0.97,0.97,0.96,0.97,0.97,0.98,0.99
25010,0.77,0.78,0.82,0.84,0.89,0.91,0.93,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.99
25011,0.86,0.86,0.88,0.91,0.92,0.92,0.94,0.95,0.95,0.95,0.95,0.96,0.97,0.95,0.97,0.98
25012,0.77,0.82,0.88,0.9,0.92,0.93,0.95,0.96,0.95,0.88,0.97,0.97,0.98,0.97,0.97,0.96
25013,0.84,0.89,0.92,0.95,0.93,0.93,0.95,0.93,0.94,0.94,0.97,0.97,0.97,0.98,0.97,0.98
25014,0.61,0.68,0.77,0.81,0.84,0.88,0.92,0.94,0.95,0.94,0.95,0.96,0.96,0.96,0.96,0.98
25015,0.73,0.77,0.81,0.85,0.89,0.9,0.92,0.93,0.94,0.94,0.96,0.96,0.96,0.91,0.95,0.96
25016,0.83,0.85,0.9,0.9,0.92,0.91,0.94,0.95,0.95,0.94,0.93,0.87,0.84,0.91,0.93,0.97
26001,0.87,0.9,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99
