CIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
23012,0.55,0.57,0.6,0.71,0.75,0.76,0.78,0.82,0.84,0.84,0.86,0.86,0.87,0.88,0.9,0.9
23013,0.65,0.69,0.74,0.79,0.84,0.83,0.86,0.88,0.89,0.89,0.89,0.9,0.91,0.89,0.89,0.9
23014,0.46,0.45,0.54,0.61,0.67,0.7,0.75,0.74,0.78,0.78,0.81,0.82,0.85,0.82,0.83,0.85
23015,0.65,0.66,0.68,0.72,0.79,0.79,0.81,0.82,0.84,0.81,0.83,0.85,0.86,0.88,0.89,0.88
23016,0.38,0.42,0.44,0.49,0.56,0.59,0.67,0.69,0.72,0.71,0.72,0.76,0.81,0.79,0.82,0.83
23017,0.67,0.67,0.7,0.72,0.73,0.74,0.79,0.8,0.82,0.85,0.87,0.87,0.9,0.89,0.87,0.89
23018,0.72,0.72,0.74,0.75,0.78,0.8,0.84,0.85,0.86,0.86,0.88,0.9,0.9,0.91,0.92,0.91
23019,0.73,0.74,0.76,0.8,0.82,0.85,0.87,0.89,0.9,0.92,0.93,0.94,0.94,0.94,0.94,0.95
23020,0.6,0.63,0.66,0.7,0.71,0.74,0.77,0.8,0.82,0.83,0.85,0.86,0.87,0.87,0.88,0.82
23021,0.6,0.64,0.68,0.7,0.74,0.76,0.8,0.79,0.82,0.84,0.87,0.87,0.86,0.87,0.88,0.86
23022,0.64,0.65,0.7,0.71,0.75,0.76,0.78,0.8,0.84,0.83,0.86,0.86,0.88,0.87,0.88,0.89
24001,0.45,0.48,0.57,0.63,0.65,0.68,0.72,0.76,0.77,0.8,0.79,0.83,0.84,0.85,0.86,0.9
24002,0.66,0.68,0.72,0.75,0.78,0.79,0.82,0.83,0.85,0.86,0.88,0.87,0.88,0.88,0.9,0.89
24003,0.45,0.48,0.57,0.59,0.63,0.65,0.68,0.72,0.72,0.74,0.76,0.78,0.76,0.81,0.81,0.81
24004,0.66,0.72,0.74,0.78,0.79,0.82,0.84,0.86,0.87,0.89,0.89,0.9,0.92,0.92,0.92,0.91
24005,0.52,0.59,0.67,0.72,0.73,0.75,0.79,0.81,0.83,0.81,0.85,0.87,0.88,0.89,0.9,0.92
24006,0.66,0.68,0.76,0.78,0.79,0.81,0.83,0.85,0.86,0.86,0.88,0.9,0.9,0.92,0.92,0.91
24007,0.55,0.58,0.61,0.66,0.7,0.74,0.75,0.77,0.76,0.79,0.8,0.8,0.82,0.81,0.8,0.85
24008,0.52,0.58,0.59,0.63,0.69,0.72,0.76,0.76,0.78,0.79,0.8,0.85,0.85,0.86,0.88,0.86
25001,0.54,0.59,0.61,0.64,0.65,0.69,0.73,0.77,0.79,0.81,0.83,0.84,0.85,0.85,0.85,0.84
25002,0.46,0.53,0.61,0.67,0.72,0.75,0.8,0.81,0.84,0.86,0.87,0.89,0.91,0.9,0.92,0.93
25003,0.54,0.57,0.63,0.67,0.7,0.74,0.76,0.8,0.83,0.82,0.83,0.83,0.87,0.88,0.89,0.89
25004,0.69,0.72,0.8,0.81,0.82,0.83,0.88,0.89,0.9,0.9,0.9,0.92,0.93,0.92,0.92,0.92
25005,0.58,0.61,0.63,0.73,0.74,0.75,0.77,0.8,0.82,0.83,0.85,0.86,0.89,0.87,0.89,0.92
25006,0.71,0.75,0.76,0.79,0.79,0.8,0.82,0.85,0.86,0.87,0.89,0.89,0.9,0.9,0.9,0.85
25007,0.58,0.62,0.67,0.69,0.69,0.72,0.75,0.79,0.78,0.82,0.83,0.8,0.85,0.88,0.89,0.89
25008,0.7,0.7,0.76,0.8,0.81,0.79,0.83,0.85,0.87,0.89,0.9,0.91,0.91,0.92,0.94,0.93
25009,0.54,0.62,0.69,0.72,0.75,0.8,0.81,0.81,0.87,0.86,0.9,0.9,0.9,0.91,0.92,0.96
25010,0.66,0.64,0.68,0.7,0.77,0.76,0.81,0.84,0.85,0.87,0.89,0.91,0.91,0.9,0.92,0.92
25011,0.49,0.48,0.55,0.65,0.65,0.66,0.73,0.76,0.79,0.82,0.8,0.82,0.84,0.85,0.89,0.89
25012,0.52,0.58,0.66,0.7,0.71,0.75,0.78,0.81,0.82,0.74,0.83,0.85,0.87,0.87,0.9,0.89
25013,0.66,0.71,0.75,0.77,0.73,0.78,0.82,0.8,0.8,0.81,0.88,0.88,0.89,0.89,0.89,0.92
25014,0.45,0.55,0.62,0.64,0.69,0.72,0.77,0.8,0.83,0.81,0.82,0.86,0.86,0.86,0.86,0.92
25015,0.46,0.51,0.59,0.64,0.69,0.72,0.78,0.81,0.84,0.85,0.88,0.89,0.88,0.83,0.87,0.88
25016,0.57,0.61,0.68,0.69,0.74,0.73,0.78,0.79,0.81,0.81,0.81,0.77,0.76,0.83,0.85,0.87
26001,0.58,0.58,0.67,0.71,0.74,0.77,0.83,0.83,0.84,0.85,0.87,0.88,0.89,0.88,0.9,0.93
26002,0.43,0.44,0.45,0.51,0.57,0.57,0.6,0.64,0.68,0.71,0.74,0.77,0.81,0.84,0.83,0.83
26003,0.46,0.47,0.53,0.58,0.62,0.63,0.67,0.71,0.74,0.74,0.78,0.8,0.82,0.84,0.86,0.86
26004,0.52,0.51,0.56,0.58,0.6,0.64,0.67,0.71,0.73,0.76,0.79,0.8,0.82,0.84,0.85,0.87
26005,0.57,0.54,0.61,0.66,0.67,0.69,0.73,0.74,0.77,0.8,0.81,0.82,0.84,0.84,0.87,0.88
26006,0.5,0.55,0.57,0.61,0.63,0.66,0.7,0.73,0.75,0.79,0.84,0.83,0.85,0.85,0.86,0.87
26007,0.47,0.48,0.53,0.55,0.57,0.58,0.61,0.63,0.66,0.69,0.72,0.74,0.76,0.77,0.81,0.82
26008,0.43,0.48,0.5,0.52,0.55,0.55,0.59,0.64,0.68,0.69,0.73,0.76,0.78,0.77,0.79,0.81
26009,0.5,0.51,0.54,0.57,0.59,0.61,0.69,0.73,0.76,0.75,0.78,0.83,0.82,0.83,0.85,0.84
26010,0.61,0.64,0.67,0.7,0.72,0.73,0.74,0.77,0.79,0.8,0.81,0.82,0.83,0.84,0.83,0.83
26011,0.58,0.57,0.61,0.64,0.65,0.65,0.69,0.72,0.78,0.81,0.82,0.82,0.84,0.87,0.86,0.88
26012,0.51,0.52,0.55,0.54,0.53,0.58,0.61,0.65,0.67,0.74,0.75,0.73,0.78,0.78,0.8,0.81
27001,0.54,0.61,0.66,0.69,0.7,0.72,0.74,0.75,0.76,0.76,0.77,0.77,0.78,0.76,0.79,0.78
27002,0.32,0.4,0.43,0.45,0.43,0.44,0.48,0.52,0.54,0.56,0.62,0.62,0.63,0.66,0.68,0.7
27003,0.37,0.43,0.47,0.52,0.55,0.57,0.62,0.62,0.65,0.65,0.7,0.72,0.75,0.75,0.8,0.81
27004,0.41,0.48,0.55,0.57,0.57,0.55,0.6,0.64,0.67,0.7,0.74,0.75,0.79,0.78,0.82,0.84
27005,0.41,0.44,0.55,0.59,0.62,0.65,0.67,0.69,0.72,0.73,0.75,0.76,0.78,0.81,0.85,0.84
27006,0.47,0.53,0.61,0.69,0.7,0.69,0.69,0.73,0.74,0.75,0.78,0.8,0.82,0.83,0.58,0.83
27007,0.52,0.54,0.58,0.65,0.68,0.68,0.7,0.74,0.76,0.78,0.81,0.8,0.82,0.83,0.85,0.87
27008,0.47,0.54,0.59,0.61,0.64,0.71,0.74,0.72,0.75,0.77,0.76,0.81,0.84,0.83,0.86,0.88
27009,0.37,0.42,0.49,0.53,0.53,0.56,0.57,0.58,0.65,0.65,0.69,0.72,0.76,0.77,0.79,0.83
